"","LakeID","LakeName","Lat","Long","Elodea","SeaplaneBase","SPBaseCity","FAAobjectID","Type","comment","HUC6","Region"
"1","Lk_1","Sixmile Lake",59.984,-154.794,0,"Stlk_23","NONDALTON",999,1,"",190303,"Bristol Bay"
"2","Lk_1015447","<Unknown/Unnamed>",58.664,-156.489,0,"","",NA,2,"",190303,"Bristol Bay"
"3","Lk_1017736","<Unknown/Unnamed>",58.508,-156.949,0,"","",NA,2,"",190303,"Bristol Bay"
"4","Lk_1017897","Big Johnstone Lake",59.976,-148.775,0,"","",NA,2,"",190104,"Gulf"
"5","Lk_1018423","Nenana Municipal Airport Floatpond",64.546,-149.071,0,"Stlk_52","NENANA",999,1,"",190803,"Yukon"
"6","Lk_1018984","<Unknown/Unnamed>",67.082,-163.434,0,"","",NA,2,"",190604,"North Slope"
"7","Lk_1022019","Atigun River",68.166,-149.691,0,"","",NA,2,"",190604,"North Slope"
"8","Lk_1024569","Nugnugaluktuk River",66.198,-163.928,0,"","",NA,2,"",190604,"North Slope"
"9","Lk_1024582","<Unknown/Unnamed>",66.591,-163.97,0,"","",NA,2,"",190604,"North Slope"
"10","Lk_1030012","Lopp Lagoon",65.742,-167.61,0,"","",NA,2,"",190604,"North Slope"
"11","Lk_1031210","Ikpek Lagoon",65.902,-167.05,0,"","",NA,2,"",190604,"North Slope"
"12","Lk_1034942","Kahiltna Glacier",62.583,-151.272,0,"","",NA,2,"",190205,"Cook Inlet"
"13","Lk_1036879","Talkeetna River/Clear Creek Area",62.27,-148.436,0,"","",NA,2,"",190205,"Cook Inlet"
"14","Lk_1039128","Buckland River",66.192,-161.047,0,"","",NA,2,"",190604,"North Slope"
"15","Lk_1039348","<Unknown/Unnamed>",61.409,-151.522,0,"","",NA,2,"",190205,"Cook Inlet"
"16","Lk_1039361","Arolik River",59.533,-161.397,0,"","",NA,2,"",190304,"Kuskokwim"
"17","Lk_1039633","Nushagak River",60.307,-157.304,0,"","",NA,2,"",190303,"Bristol Bay"
"18","Lk_1039634","Kvichak River",59.018,-155.596,0,"Stlk_37","IGIUGIG",999,1,"",190303,"Bristol Bay"
"19","Lk_1039644","Swift River",61.513,-154.508,0,"","",NA,2,"",190304,"Kuskokwim"
"20","Lk_1039676","Naknek River",58.672,-156.661,0,"Stlk_40","KING SALMON",999,1,"",190303,"Bristol Bay"
"21","Lk_1039728","East Fork Chandalar River",67.169,-147.268,0,"","",NA,2,"",190803,"Yukon"
"22","Lk_1039729","Alatna River",67.536,-154.054,0,"","",NA,2,"",190803,"Yukon"
"23","Lk_1039737","Nowitna River",64.523,-154.25,0,"","",NA,2,"",190803,"Yukon"
"24","Lk_1039743","Yukon River",64.731,-156.911,0,"","",NA,2,"",190803,"Yukon"
"25","Lk_1039751","Nanielik Creek",68.017,-158.778,0,"","",NA,2,"",190604,"North Slope"
"26","Lk_1039791","Ivishak River",68.672,-146.996,0,"","",NA,2,"",190604,"North Slope"
"27","Lk_1039832","<Unknown/Unnamed>",68.649,-155.8,0,"","",NA,2,"",190604,"North Slope"
"28","Lk_1039838","Chandler River",69.006,-151.932,0,"","",NA,2,"",190604,"North Slope"
"29","Lk_1039851","<Unknown/Unnamed>",60.233,-144.192,0,"","",NA,2,"",190104,"Gulf"
"30","Lk_1039905","Wind River",68.27,-147.265,0,"","",NA,2,"",190803,"Yukon"
"31","Lk_1039910","Skwentna River",61.96,-151.191,0,"","",NA,2,"",190205,"Cook Inlet"
"32","Lk_1039917","Noatak River",67.136,-162.354,0,"","",NA,2,"",190604,"North Slope"
"33","Lk_1039979","Mulchatna River",60.504,-155.572,0,"","",NA,2,"",190303,"Bristol Bay"
"34","Lk_1040139","Yentna River",61.822,-150.837,0,"","",NA,2,"",190205,"Cook Inlet"
"35","Lk_1040335","Tanana River",64.972,-150.86,1,"","",NA,2,"",190803,"Yukon"
"36","Lk_1040336","Yukon River",65.258,-151.323,0,"","",NA,2,"",190803,"Yukon"
"37","Lk_1040343","Kahiltna River",61.984,-150.749,0,"","",NA,2,"",190205,"Cook Inlet"
"38","Lk_1040484","Little Susitna River",61.627,-149.801,0,"","",NA,2,"",190205,"Cook Inlet"
"39","Lk_1040574","Shishmaref Inlet",66.444,-165.019,0,"","",NA,2,"",190604,"North Slope"
"40","Lk_1040597","Susitna River",61.41,-150.595,0,"","",NA,2,"",190205,"Cook Inlet"
"41","Lk_1040941","<Unknown/Unnamed>",67.487,-150.438,0,"","",NA,2,"",190803,"Yukon"
"42","Lk_1041403","North Fork Chandalar River",67.837,-148.683,0,"","",NA,2,"",190803,"Yukon"
"43","Lk_1041465","<Unknown/Unnamed>",59.738,-154.972,0,"","",NA,2,"",190303,"Bristol Bay"
"44","Lk_1041553","Copper River",62.146,-145.41,0,"","",NA,2,"",190104,"Gulf"
"45","Lk_1041655","Melozitna River",65.616,-153.56,0,"","",NA,2,"",190803,"Yukon"
"46","Lk_1041717","<Unknown/Unnamed>",65.026,-148.26,0,"","",NA,2,"",190803,"Yukon"
"47","Lk_1041726","Togiak River",59.463,-159.773,0,"","",NA,2,"",190303,"Bristol Bay"
"48","Lk_1041802","Yukon River",62.04,-163.335,0,"","",NA,2,"",190803,"Yukon"
"49","Lk_1041830","<Unknown/Unnamed>",59.187,-155.041,0,"","",NA,2,"",190303,"Bristol Bay"
"50","Lk_1041838","Kobuk River",66.771,-155.636,0,"","",NA,2,"",190604,"North Slope"
"51","Lk_1041963","Beaver Creek",65.57,-147.683,0,"","",NA,2,"",190803,"Yukon"
"52","Lk_1041965","Koyukuk River",65.026,-157.341,0,"","",NA,2,"",190803,"Yukon"
"53","Lk_1041985","<Unknown/Unnamed>",66.351,-147.359,0,"","",NA,2,"",190803,"Yukon"
"54","Lk_1042064","Yukon River",65.549,-143.736,0,"","",NA,2,"",190803,"Yukon"
"55","Lk_1042282","Tanana River",64.803,-149.172,1,"","",NA,2,"",190803,"Yukon"
"56","Lk_1042309","Innoko River",63.601,-157.16,0,"","",NA,2,"",190803,"Yukon"
"57","Lk_1042440","Susitna River",61.777,-150.251,0,"","",NA,2,"",190205,"Cook Inlet"
"58","Lk_1042448","<Unknown/Unnamed>",66.528,-141.02,0,"","",NA,2,"",190803,"Yukon"
"59","Lk_1042449","Yukon River",66.051,-148.88,0,"","",NA,2,"",190803,"Yukon"
"60","Lk_1042554","West Fork Susitna River",63.385,-147.541,0,"","",NA,2,"",190205,"Cook Inlet"
"61","Lk_1043384","<Unknown/Unnamed>",67.896,-148.37,0,"","",NA,2,"",190803,"Yukon"
"62","Lk_1043489","Middle Fork Goodnews River",59.295,-161.2,0,"","",NA,2,"",190304,"Kuskokwim"
"63","Lk_1043491","Big River",60.787,-152.261,0,"","",NA,2,"",190205,"Cook Inlet"
"64","Lk_1043504","Glacier River",60.474,-145.413,0,"","",NA,2,"",190104,"Gulf"
"65","Lk_1043506","Holitna River",61.153,-156.629,0,"","",NA,2,"",190304,"Kuskokwim"
"66","Lk_1043628","Colville River",69.033,-154.19,0,"","",NA,2,"",190604,"North Slope"
"67","Lk_1043845","Nenana River",63.465,-148.819,0,"","",NA,2,"",190803,"Yukon"
"68","Lk_1043885","Kelly River",68.084,-162.315,0,"","",NA,2,"",190604,"North Slope"
"69","Lk_1043890","Itkillik River",68.257,-149.995,0,"","",NA,2,"",190604,"North Slope"
"70","Lk_1043905","Kantishna River",64.511,-150.208,0,"","",NA,2,"",190803,"Yukon"
"71","Lk_1043919","Yukon River",63.6,-159.402,0,"","",NA,2,"",190803,"Yukon"
"72","Lk_1044103","Porcupine River",66.731,-144.562,0,"","",NA,2,"",190803,"Yukon"
"73","Lk_1044162","Tanana River",64.568,-148.871,1,"","",NA,2,"",190803,"Yukon"
"74","Lk_1044222","Coghill River",61.077,-147.864,0,"","",NA,2,"",190104,"Gulf"
"75","Lk_1044227","Tanana River",64.858,-151.352,1,"","",NA,2,"",190803,"Yukon"
"76","Lk_1044284","<Unknown/Unnamed>",63.147,-158.734,0,"","",NA,2,"",190803,"Yukon"
"77","Lk_1044302","Moose River",60.55,-150.745,0,"","",NA,2,"",190205,"Cook Inlet"
"78","Lk_1044356","Kroto Creek",61.701,-150.322,0,"","",NA,2,"",190205,"Cook Inlet"
"79","Lk_1044454","Cowpack Inlet",66.414,-165.028,0,"","",NA,2,"",190604,"North Slope"
"80","Lk_1044809","Mcarthur River",60.924,-151.737,0,"","",NA,2,"",190205,"Cook Inlet"
"81","Lk_1044821","<Unknown/Unnamed>",58.995,-154.159,0,"","",NA,2,"",190205,"Cook Inlet"
"82","Lk_1045458","Kobuk River",67.106,-159.752,0,"","",NA,2,"",190604,"North Slope"
"83","Lk_1045459","Koyukuk River",66.906,-151.682,0,"","",NA,2,"",190803,"Yukon"
"84","Lk_1045465","Yukon River",65.044,-153.916,0,"","",NA,2,"",190803,"Yukon"
"85","Lk_1046197","Alexander Creek",61.438,-150.597,0,"","",NA,2,"",190205,"Cook Inlet"
"86","Lk_1046312","Talkeetna River",62.346,-150.036,0,"","",NA,2,"",190205,"Cook Inlet"
"87","Lk_1046335","Lower Kuskokwim River",60.788,-161.737,0,"Stlk_7","BETHEL",60,1,"",190304,"Kuskokwim"
"88","Lk_1047451","Chandalar Shelf",68.044,-149.595,0,"","",NA,2,"",190803,"Yukon"
"89","Lk_1047530","Tinayguk River",67.8,-151.547,0,"","",NA,2,"",190803,"Yukon"
"90","Lk_1047595","Anaktuvuk River",68.117,-151.108,0,"","",NA,2,"",190604,"North Slope"
"91","Lk_1047631","Nimiuktuk River",68.399,-159.861,0,"","",NA,2,"",190604,"North Slope"
"92","Lk_1047791","Middle Fork Chandalar River",68.065,-147.697,0,"","",NA,2,"",190803,"Yukon"
"93","Lk_1056645","North Fork Koyukuk River",67.119,-151.482,0,"","",NA,2,"",190803,"Yukon"
"94","Lk_105733","Teshekpuk Lake",70.554,-153.545,0,"","",NA,2,"",190604,"North Slope"
"95","Lk_1059752","Fountain River",62.887,-149.965,0,"","",NA,2,"",190205,"Cook Inlet"
"96","Lk_10701","Fish Lakes",61.948,-150.961,0,"Stlk_61","SKWENTNA",999,1,"",190205,"Cook Inlet"
"97","Lk_12853","Skilak Glacier Lake",60.288,-150.035,0,"","",NA,2,"",190205,"Cook Inlet"
"98","Lk_13047","Glacial Lake West Of Ruth Glacier",62.86,-150.692,0,"","",NA,2,"",190205,"Cook Inlet"
"99","Lk_13444","Chedatna Lakes",61.25,-150.793,0,"","",NA,2,"",190205,"Cook Inlet"
"100","Lk_136224","<Unknown/Unnamed>",70.927,-155.38,0,"","",NA,2,"",190604,"North Slope"
"101","Lk_139257","Hendrickson Lake",56.956,-158.59,0,"","",NA,2,"",190303,"Bristol Bay"
"102","Lk_142050","Bear Lake",55.996,-160.231,0,"","",NA,2,"",190303,"Bristol Bay"
"103","Lk_14524","Hewitt Lake",62.003,-151.387,0,"","",NA,2,"",190205,"Cook Inlet"
"104","Lk_154951","Buteo Lake",60.755,-150.395,0,"","",NA,2,"",190205,"Cook Inlet"
"105","Lk_155954","Watana Lake",62.724,-148.045,0,"","",NA,2,"",190205,"Cook Inlet"
"106","Lk_156210","Stephan Lake",62.684,-148.918,0,"","",NA,2,"",190205,"Cook Inlet"
"107","Lk_156238","Unnamed Lake Along Prarie Creek Below Stephan Lake",62.675,-148.951,0,"","",NA,2,"",190205,"Cook Inlet"
"108","Lk_156286","<Unknown/Unnamed>",62.548,-148.899,0,"","",NA,2,"",190205,"Cook Inlet"
"109","Lk_156440","Rainbow Lake",62.34,-149.303,0,"","",NA,2,"",190205,"Cook Inlet"
"110","Lk_156682","<Unknown/Unnamed>",62.479,-149.651,0,"","",NA,2,"",190205,"Cook Inlet"
"111","Lk_15670","<Unknown/Unnamed>",61.77,-150.755,0,"","",NA,2,"",190205,"Cook Inlet"
"112","Lk_156708","Sockeye Lake",62.423,-149.789,0,"","",NA,2,"",190205,"Cook Inlet"
"113","Lk_156719","<Unknown/Unnamed>",62.407,-149.637,0,"","",NA,2,"",190205,"Cook Inlet"
"114","Lk_156730","Katie Lake",62.398,-149.831,0,"","",NA,2,"",190205,"Cook Inlet"
"115","Lk_156748","Larson Lake",62.329,-149.9,0,"","",NA,2,"",190205,"Cook Inlet"
"116","Lk_156950","Lake Denali",62.486,-150.331,0,"","",NA,2,"",190205,"Cook Inlet"
"117","Lk_157298","Scotty Lake",62.321,-150.316,0,"","",NA,2,"",190205,"Cook Inlet"
"118","Lk_157309","<Unknown/Unnamed>",62.32,-150.414,0,"","",NA,2,"",190205,"Cook Inlet"
"119","Lk_157319","Christiansen Lake",62.316,-150.063,0,"Stlk_69","TALKEETNA",576,1,"",190205,"Cook Inlet"
"120","Lk_160542","Sardine Can Lake",66.782,-146.672,0,"","",NA,2,"",190803,"Yukon"
"121","Lk_16111","Devil Mountain Lakes",66.396,-164.479,0,"","",NA,2,"",190604,"North Slope"
"122","Lk_161294","Stringo Lakes",67.735,-147.762,0,"","",NA,2,"",190803,"Yukon"
"123","Lk_164684","<Unknown/Unnamed>",62.508,-144.462,0,"","",NA,2,"",190104,"Gulf"
"124","Lk_164970","Long Lake",62.813,-144.189,0,"","",NA,2,"",190104,"Gulf"
"125","Lk_165125","Chelle Lake",62.191,-144.87,0,"","",NA,2,"",190104,"Gulf"
"126","Lk_165540","<Unknown/Unnamed>",62.369,-144.59,0,"","",NA,2,"",190104,"Gulf"
"127","Lk_16661","Chedatna Lakes",61.26,-150.771,0,"","",NA,2,"",190205,"Cook Inlet"
"128","Lk_169744","Unnamed Lake N Of Gakona",62.297,-145.347,0,"Stlk_29","GAKONA",NA,2," nearby private airstrip, but also lake with a plane visible",190104,"Gulf"
"129","Lk_170883","<Unknown/Unnamed>",62.595,-145.099,0,"","",NA,2,"",190104,"Gulf"
"130","Lk_173661","Summit Lake",63.11,-145.53,0,"","",NA,2,"",190104,"Gulf"
"131","Lk_174973","Paxson Lake",62.925,-145.526,0,"","",NA,2,"",190104,"Gulf"
"132","Lk_18979","Chelatna Lake",62.436,-151.41,0,"","",NA,2,"",190205,"Cook Inlet"
"133","Lk_191278","Shannons Pond",59.049,-158.582,0,"Stlk_20","DILLINGHAM",175,1,"",190303,"Bristol Bay"
"134","Lk_193456","Grant Lake",59.808,-158.54,0,"","",NA,2,"",190303,"Bristol Bay"
"135","Lk_1965","Inner Lake George",61.268,-148.535,0,"","",NA,2,"",190204,"Knik Arm"
"136","Lk_19769","Whiskey Lake",61.988,-151.398,0,"","",NA,2,"",190205,"Cook Inlet"
"137","Lk_2","Tikchik Lake",59.929,-158.265,0,"Stlk_71","TIKCHIK NARROWS LODGE",599,1,"",190303,"Bristol Bay"
"138","Lk_200476","Coghill Lake",61.089,-147.831,0,"","",NA,2,"",190104,"Gulf"
"139","Lk_200513","Index Lake",61.805,-147.957,0,"","",NA,2,"",190204,"Knik Arm"
