Polygon,Latitude,Longitude,Result,Perimeter
0,62.347773094202424,-151.97110901274857,Fails,0.15116029408306664
1,62.395403499943455,-151.97109988548095,Fails,0.0793245107919305
2,62.34998845266578,-151.97215054827876,Fails,0.18174472192871474
3,62.39751715146443,-151.97237185172753,Fails,0.39388560212549645
4,62.40349478473943,-151.97383566384624,Fails,0.1338125418838304
5,62.39874789765912,-151.97496092193896,Fails,0.09082546164325742
6,62.34535128721639,-151.97519242968914,Fails,0.21543326967743237
7,62.40247219125058,-151.97546546443314,Fails,0.03632875478745703
8,62.39958474926591,-151.9759507880152,Fails,0.06690844853224105
9,62.35383408026646,-151.97608145205652,Fails,0.12145596547715774
10,62.34607825415865,-151.97654006564895,Fails,0.10905122241920852
11,62.41147844362765,-151.976225182502,Fails,0.018162648169120808
12,62.412102131096354,-151.97703109964263,Fails,0.26485675537335845
13,62.3537402652585,-151.9783230941963,Fails,0.480957491594714
14,62.41268218610837,-151.9803215001976,Fails,0.03632483059167678
15,62.415180379003374,-151.98071544431482,Fails,0.4004794160330142
16,62.41040046528671,-151.97586585638834,Fails,0.0181628551677204
17,62.41541792259414,-151.98217701334343,Passes,2.925236501261436
18,62.41571022156451,-151.98275607720737,Fails,0.46254580816840346
19,62.41520228913225,-151.9807483095082,Fails,0.4004794160330142
20,62.350125079593674,-151.97679167349312,Passes,2.2673442258112795
21,62.421593473726844,-151.98266310870486,Fails,0.11861918822823377
22,62.41573446181819,-151.98274181823442,Fails,0.46254580817178975
23,62.35469580044154,-151.9852134302657,Fails,0.52961372070966
24,62.42038716463103,-151.98566005960035,Fails,0.2590812751185552
25,62.351738618650344,-151.98541154045574,Fails,0.19902258481296273
26,62.42268006604997,-151.9858127907782,Fails,0.5351618816809088
27,62.35584918548494,-151.98805692408553,Fails,0.20874292929677962
28,62.41960629143166,-151.98796371331466,Fails,0.20643820831963772
29,62.35422904090795,-151.99038385984505,Fails,0.8691546495052784
30,62.35640415195083,-151.99054432813085,Fails,0.14449131416693406
31,62.3558966826149,-151.99223116460882,Fails,0.06603930310782433
32,62.357314236875276,-151.9941700815222,Fails,0.4437028939409686
33,62.35534913806077,-151.99463807921134,Fails,0.05452027103828046
34,62.36058503285964,-151.99637054440217,Fails,0.08331114858914977
35,62.36271927202916,-152.00721153171008,Fails,0.054516038230447386
36,62.360088820607444,-152.00749254315792,Fails,0.17596635726185403
37,62.36721084844976,-152.01008614061928,Fails,0.05451345185613057
38,62.36150434772183,-152.01088980823238,Fails,0.22292909230306326
39,62.36982056951875,-152.01127544863212,Fails,0.09175292034707046
